code,name,name2,unit,AA,AB,BA,BB,AA2,AB2,BA2,BB2,cost
6949509223289,ดอกโรตารี่ PLUS-5X 5.5x100x160,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 5.5x100x160 Bosch",ดอก,225.0000,225.0000,235.0000,235.0000,207.0000,207.0000,216.0000,216.0000,170.675700
6949509223272,ดอกโรตารี่ PLUS-5X 5.5x50x110,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 5.5x50x110 Bosch",ดอก,200.0000,200.0000,210.0000,210.0000,184.0000,184.0000,193.0000,202.0000,151.351500
6949509223357,ดอกโรตารี่ PLUS-5X 6.5x100/160,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 6.5x100/160",ดอก,225.0000,225.0000,230.0000,230.0000,207.0000,207.0000,212.0000,221.0000,170.130000
6949509223340,ดอกโรตารี่ PLUS-5X 6.5x50/110,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 6.5x50/110 Bosch",ดอก,200.0000,200.0000,205.0000,210.0000,184.0000,184.0000,189.0000,193.0000,150.870000
6949509223319,ดอกโรตารี่ PLUS-5X 6x100/160,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 6x100/160 Bosch",ดอก,225.0000,225.0000,230.0000,230.0000,207.0000,207.0000,219.0000,225.0000,115.560000
6949509227546,ดอกโรตารี่ PLUS-5X 6x250x310,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 6x250x310 Bosch",ดอก,240.0000,240.0000,245.0000,250.0000,221.0000,221.0000,225.0000,230.0000,179.760000
6949509223302,ดอกโรตารี่ PLUS-5X 6x50/110,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 6x50/110 Bosch",ดอก,200.0000,200.0000,210.0000,215.0000,184.0000,184.0000,193.0000,198.0000,150.870000
6949509223388,ดอกโรตารี่ PLUS-5X 7x50/110,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 7x50/110 Bosch",ดอก,200.0000,200.0000,205.0000,210.0000,184.0000,184.0000,189.0000,193.0000,150.870000
6949509223425,ดอกโรตารี่ PLUS-5X 8x100/160,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 8x100/160 Bosch",ดอก,230.0000,230.0000,235.0000,240.0000,212.0000,212.0000,216.0000,221.0000,173.340000
6949509223418,ดอกโรตารี่ PLUS-5X 8x50/110,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 8x50/110 Bosch",ดอก,205.0000,205.0000,210.0000,215.0000,189.0000,189.0000,193.0000,198.0000,154.080000
6949509227591,ดอกโรตารี่ PLUS-5X 9.5x100x160,"(หัวแฉก) ดอกโรตารี่ SDS PLUS-5X, 9.5x100x160",ดอก,320.0000,320.0000,325.0000,330.0000,294.0000,294.0000,299.0000,304.0000,225.705800
8856608001374,160462-50 มือจับกันลื่นสแตนเลส 50ซม,160462-50 มือจับกันลื่นสแตนเลส 50 ซม.,ชุด,295.0000,295.0000,305.0000,305.0000,271.0000,271.0000,281.0000,281.0000,194.740000
8850304209195,3M Car Wax เคลือบเงารถยนต์ 400มล,3M Car Wax เคลือบเงารถยนต์ 400มล,ขวด,145.0000,145.0000,150.0000,150.0000,133.0000,133.0000,135.0000,135.0000,123.756200
8850304094029,3M เทปกระดาษกาวย่น 48มม. 25หลา,3M เทปกระดาษกาวย่น 48มม. 25หลา,ม้วน,60.0000,60.0000,62.0000,62.0000,56.0000,56.0000,58.0000,58.0000,36.754500
8856608032897,A45 สายฉีดชำระชุบโครเมี่ยม,A45 สายฉีดชำระชุบโครเมี่ยม,แพ็ค,230.0000,230.0000,240.0000,240.0000,203.0000,203.0000,212.0000,212.0000,176.550000
8856608032910,A45BK สายฉีดชำระสีขาว หน้าสีดำ,A45BK สายฉีดชำระสีขาว หน้าสีดำ,แพ็ค,179.0000,179.0000,185.0000,185.0000,165.0000,165.0000,170.0000,170.0000,123.050000
8856608032927,A45BL สายฉีดชำระสีขาว หน้าสีฟ้า,A45BL สายฉีดชำระสีขาว หน้าสีฟ้า,แพ็ค,179.0000,179.0000,185.0000,185.0000,165.0000,165.0000,170.0000,171.0000,133.750000
8856608033122,A45GN สายฉีดชำระสีขาว หน้าสีเขียว,A45GN สายฉีดชำระสีขาว หน้าสีเขียว,แพ็ค,179.0000,179.0000,185.0000,185.0000,165.0000,165.0000,170.0000,171.0000,133.750000
8856608019638,AP-01 แกนน้ำเข้า-สั้น(ไม่ใช้ลูกลอย),AP-01 แกนน้ำเข้า-สั้น(ไม่ใช้ลูกลอย) Vegarr วีก้า,ชุด,215.0000,215.0000,225.0000,225.0000,198.0000,198.0000,207.0000,207.0000,144.995700
